title,sentiment
The myth of the original star-crossed lovers,Neutral
How I fail at being disabled,Negative
"Synthetic voices, as unique as fingerprints",Positive
How Thor got his hammer,Neutral
A wall won't solve America's border problems,Negative
How I started a sanitary napkin revolution!,Positive
Small rockets are the next space revolution,Positive
Healthcare's compassion crisis,Negative
What we can learn from college athletes,Positive
The Greek myth of Demeter's revenge,Neutral
The science of symmetry,Neutral
"In uncertain times, think like a mother",Positive
3 ways to (usefully) lose control of your brand,Neutral
Animal tales from icy wonderlands,Positive
"""Woza""",Positive
"The rise of the ""trauma essay"" in college applications",Neutral
17 words of architectural inspiration,Positive
How the NSA betrayed the world's trust -- time to act,Negative
Life in Second Life,Neutral
How fungi recognize (and infect) plants,Neutral
Why do we have hair in such random places?,Neutral
What in the world is topological quantum matter?,Neutral
What does it really mean for leaders to be authentic?,Neutral
Plant fuels that could power a jet,Positive
How will AI change the world?,Neutral
The hidden power of smiling,Positive
Meet the SixthSense interaction,Positive
A crash course in organic chemistry,Neutral
The hidden world of shadow cities,Neutral
What Bernie Madoff couldn't steal from me,Positive
Would you live in a floating city in the sky?,Positive
The artist who won a Nobel Prize... in medicine,Positive
This ancient rock is changing our theory on the origin of life,Positive
Dead stuff: The secret ingredient in our food chain,Neutral
How to read music,Neutral
How to heal a divided world,Positive
The true power of a good outfit,Positive
How the magic of kindness helped me survive the Holocaust,Positive
How India's smartphone revolution is creating a new generation of readers and writers,Positive
What makes us get sick? Look upstream,Neutral
How to meet your child's difficult behavior with compassion,Positive
3 rules for better work-life balance,Positive
Escaping the Khmer Rouge,Negative
A day in the life of an ancient Egyptian doctor,Neutral
Drawings that show the beauty and fragility of Earth,Positive
How to truly listen,Positive
How the world's longest underwater tunnel was built,Neutral
Can we feed ourselves without devouring the planet?,Negative
Why animals in zoos need choice,Positive
Why we need gender-neutral bathrooms,Positive
How to connect while apart,Positive
How one photo captured a humanitarian crisis,Negative
The power of believing that you can improve,Positive
What I learned from going blind in space,Positive
"""Everything happens for a reason"" -- and other lies I've loved",Negative
The lies our culture tells us about what matters -- and a better way to live,Positive
"Unlock the intelligence, passion, greatness of girls",Positive
2600 years of history in one object,Neutral
Stuck in the gig economy? Try platform co-ops instead,Positive
Can you outsmart the fallacy that started a witch hunt?,Negative
How we can teach computers to make sense of our emotions,Positive
The way we think about charity is dead wrong,Negative
The real story of McMafia -- how global crime networks work,Negative
"""The Last Serenade""",Negative
The state of the climate — and what we might do about it,Neutral
"Why should you read ""One Hundred Years of Solitude""?",Positive
The sonic boom problem,Neutral
Let's think about archaeology on the moon,Neutral
The political chemistry of oil,Neutral
The hidden role informal caregivers play in health care,Neutral
The art of choosing,Neutral
Cape Breton fiddling in reel time,Positive
Demand a fair trade cell phone,Positive
What color is Tuesday? Exploring synesthesia,Neutral
How to pitch to a VC,Neutral
Happiness in body and soul,Positive
My immigration story,Positive
Ingenuity and elegance in ancient African alphabets,Positive
The secret lives of paintings,Neutral
My year of living biblically,Neutral
A brief history of alcohol,Neutral
"The difference between being ""not racist"" and antiracist",Neutral
El Sistema's top youth orchestra,Positive
How does the Rorschach inkblot test work?,Neutral
We're all hiding something. Let's find the courage to open up,Positive
Civilization on the Moon -- and what it means for life on Earth,Positive
The transformative role of art during the pandemic,Positive
The painter and the pendulum,Neutral
Why science demands a leap into the unknown,Positive
4 ways to make hybrid work better for everyone,Positive
Finding life we can't imagine,Positive
How to realistically decarbonize the oil and gas industry,Neutral
Behind the lies of Holocaust denial,Negative
Cómo un doctor de astronautas capacita al cuerpo para el espacio,Positive
5 tips to improve your critical thinking,Positive
The fascinating (and dangerous) places scientists aren't exploring,Negative
An architect's subversive reimagining of the US-Mexico border wall,Positive
How technology changes our sense of right and wrong,Neutral
"Music, movement and poetry",Positive
A world without waste,Positive
AI isn't as smart as you think -- but it could be,Neutral
A headset that reads your brainwaves,Neutral
Which type of milk is best for you?,Neutral
Gotta share!,Positive
My underground art explorations,Positive
"Nature, art and magical blocks of flying concrete",Positive
How tsunamis work,Neutral
Don't fear intelligent machines. Work with them,Positive
The world's most boring television ... and why it's hilariously addictive,Positive
The future of good food in China,Positive
Why our screens make us less happy,Negative
Can a divided America heal?,Neutral
Who won the space race?,Neutral
Electrical experiments with plants that count and communicate,Positive
"""My Man"" / ""Bohanna"" / ""We Dance""",Positive
The transformative power of classical music,Positive
"How daylight saving time affects our bodies, minds -- and world",Neutral
Rediscovering heritage through dance,Positive
For argument's sake,Neutral
Defining cyberwarfare... in hopes of preventing it,Positive
"Everyday objects, tragic histories",Negative
The science of laughter,Neutral
The science of falling in love,Positive
5 things you should know about back pain,Neutral
The investment logic for sustainability,Positive
Are we filtering the wrong microbes?,Neutral
Fighting cancer with dance,Positive
The single most important parenting strategy,Positive
Let's go all-in on selling sustainability,Positive
Why some people find exercise harder than others,Neutral
Your brain is more than a bag of chemicals,Neutral
I am the son of a terrorist. Here's how I chose peace.,Positive
Whatever happened to the hole in the ozone layer?,Neutral
The anti-CEO playbook,Negative
The trick to regaining your childlike wonder,Positive
"""New Second Line""",Positive
The importance of queer allyship in the classroom,Positive
How your personal narrative limits your future,Negative
The mathematics of love,Positive
A comedian's take on how to save democracy,Positive
The marvels and mysteries revealed by the James Webb Space Telescope,Positive
Healing through diet,Positive
The year I was homeless,Negative
How your brain responds to stories -- and why they're crucial for leaders,Positive
Globalization isn't declining -- it's transforming,Neutral
How to motivate people to do good for others,Positive
Laws that choke creativity,Negative
The Egyptian myth of the death of Osiris,Neutral
History vs. Napoleon Bonaparte,Neutral
Life lessons from big cats,Positive
Building unimaginable shapes,Positive
The chilling aftershock of a brush with death,Negative
How music makes me a better neuroscientist,Positive
"How theater weathers wars, outlasts empires and survives pandemics",Positive
A conservative's plea: Let's work together,Positive
Can you solve the cuddly duddly fuddly wuddly riddle?,Positive
AI could increase equality — if we design it right ,Positive
The surprising climate benefits of sharing your stuff ,Positive
There's no shame in taking care of your mental health,Positive
Science and democracy,Neutral
Be suspicious of simple stories,Neutral
Can we design cities for happiness?,Positive
What causes sleepwalking?,Neutral
How to land on a comet,Neutral
How a fleet of wind-powered drones is changing our understanding of the ocean,Positive
Can you solve the world's most evil wizard riddle?,Neutral
Our natural sleep cycle is nothing like what we do now,Neutral
How to save a language from extinction,Positive
Simplicity sells,Positive
"A dance of ""Symbiosis""",Positive
The 6 killer apps of prosperity,Positive
What birdspotting can teach us about conservation,Positive
Where good ideas come from,Positive
You don't have to be an expert to solve big problems,Positive
Why children stay silent following sexual violence,Negative
An interview with the Queen of Creole Cuisine,Positive
How I make paint from poison,Negative
The molecular love story that could help power the world,Positive
A simple new blood test that can catch cancer early,Positive
"Scientists must be free to learn, to speak and to challenge",Positive
How to fix a broken education system ... without any more money,Positive
How we can store digital data in DNA,Positive
My mind-shifting Everest swim,Positive
Protecting Twitter users (sometimes from themselves),Negative
"The most detailed map of galaxies, black holes and stars ever made",Positive
3 questions to build resilience -- and change the world,Positive
Grief and love in the animal kingdom,Neutral
The evolution of compassion,Positive
The math and magic of origami,Neutral
"The Factory | Think Like A Coder, Ep 9",Neutral
Feats of memory anyone can do,Positive
How drawing can set you free,Positive
The secret society of the Great Dismal Swamp,Neutral
The intangible effects of walls,Neutral
Parenting in the digital age	,Neutral
How bones make blood,Neutral
"Global population growth, box by box",Neutral
The end of globalization (and the beginning of something new),Negative
How to solve the world's biggest problems,Positive
What I learned from dating while disabled,Positive
Hackers: the Internet's immune system,Positive
How to reduce bias in your workplace,Positive
How the button changed fashion,Neutral
Get comfortable with being uncomfortable,Positive
Engineering a better life for all,Positive
Chaos and harmony on piano,Positive
How do pain relievers work?,Neutral
A plane you can drive,Positive
The real-life superheroes helping Syrian refugees,Positive
The fascinating physics of everyday life,Positive
The origin of countless conspiracy theories,Neutral
How Pakistani women are taking the internet back,Positive
"Theranos, whistleblowing and speaking truth to power",Negative
Should we cry at work?,Neutral
Tagging tuna in the deep ocean,Neutral
"Use your voice, vote and wallet for climate action",Positive
Easing water scarcity by understanding when and where it flows,Positive
How I use Minecraft to help kids with autism,Positive
The science of scent,Neutral
What would happen if we upload our brains to computers?,Neutral
The future will be shaped by optimists,Positive
What the people of the Amazon know that you don't,Neutral
"The big-beaked, rock-munching fish that protect coral reefs",Positive
The new urgency of climate change,Negative
How can groups make good decisions?,Neutral
How the pandemic will shape the near future,Neutral
"Dear Facebook, this is how you're breaking democracy",Negative
What really happens to the plastic you throw away?,Neutral
The natural building blocks of sustainable architecture,Positive
"Why should you read ""Moby Dick""?",Positive
Kids need structure,Positive
My green agenda for architecture,Positive
How interpreters juggle two languages at once,Neutral
The case for optimism on climate change,Positive
Why gun violence can't be our new normal,Negative
The myth of the Sampo— an infinite source of fortune and greed,Negative
Why do we kiss under mistletoe?,Neutral
I listen to color,Positive
Buildings that blend nature and city,Positive
Songs of secrets and city lights,Neutral
Love letters to strangers,Positive
The listening bias,Neutral
How to start a movement,Positive
Meet e-Patient Dave,Positive
"The life, legacy & assassination of an African revolutionary",Negative
Lessons from Utah's legacy of women's suffrage,Positive
What we don't know about mother's milk,Neutral
A bold plan to empower 1.6 million out-of-school girls in India,Positive
3 rules to help you build a successful business,Positive
Let's bridge the digital divide!,Positive
How Black girls can reclaim their voice in music,Positive
What physics taught me about marketing,Neutral
My ghost town road trip,Neutral
A new vision for rebuilding Detroit,Positive
5 needs that any COVID-19 response should meet,Neutral
What commercialization is doing to cannabis,Negative
Is Chandigarh a perfectly planned city?,Neutral
My web playroom,Positive
The difference between classical and operant conditioning,Neutral
Nature is everywhere -- we just need to learn to see it,Positive
How we found hundreds of potential Earth-like planets,Positive
What makes a language... a language?,Neutral
How I fell in love with a fish,Positive
The likability dilemma for women leaders,Negative
What we'll learn about the brain in the next century,Positive
How refugees could be architects of their own homes -- and futures ,Positive
How to build a thriving music scene in your city,Positive
"Meet Milo, the virtual boy",Positive
Why the world needs more astronauts,Positive
A new perspective on the journey to net-zero,Positive
The laws that sex workers really want,Positive
How Romans flooded the Colosseum for sea battles,Neutral
Confessions of a depressed comic,Negative
Should you donate differently?,Neutral
Ugly History: The US syphilis experiment,Negative
How to fix broken supply chains,Neutral
What makes muscles grow?,Neutral
Stop being a bystander in your own life,Positive
Why we take financial risks,Neutral
What's it like to be a giant sequoia tree?,Neutral
The Philosophical Breakfast Club,Neutral
When ideas have sex,Positive
3 ways to speak English,Neutral
The myth of Loki and the deadly mistletoe,Neutral
How does your smartphone know your location?,Neutral
What should humans take to space (and leave behind)?,Neutral
The search for the true face of Leonardo,Neutral
You may be accidentally investing in cigarette companies,Negative
Want a happier life? Be more compassionate,Positive
Why invest in Africa,Positive
An escape from poverty,Positive
The rise and fall of the Maya Empire’s most powerful city,Neutral
What are stem cells?,Neutral
Passion for compassion,Positive
AI Jeopardy with a magic twist,Positive
How we're harnessing nature's hidden superpowers,Positive
Why is the world warming up?,Neutral
A game that lets you decide how to tackle the climate crisis,Positive
Can you solve the monster duel riddle?,Neutral
What happens when you die? A poetic inquiry,Neutral
The journey across the high wire,Positive
Can astronomers help doctors?,Positive
Will the ocean ever run out of fish?,Negative
"The Train Heist | Think Like A Coder, Ep 4",Neutral
How a start-up in the White House is changing business as usual,Positive
"""Kiteflyer's Hill""",Positive
The importance of good conversation – and how to have it,Positive
"Can we recreate the voice of a 3,000-year-old mummy?",Neutral
How fiction can help us better understand our reality,Positive
How to build a fictional world,Positive
How Ikea is growing its business while shrinking emissions,Positive
Why we shouldn't trust markets with our civic life,Negative
"The life unfolding inside your cells, revealed in 3D",Neutral
It's time to reclaim religion,Positive
The myth of Gawain and the Green Knight,Neutral
"Real-life ""Alien"" jaws",Neutral
Why kids need to learn about gender and sexuality,Positive
"Everything you need to know to read ""The Canterbury Tales""",Neutral
From stigma to supermodel,Positive
Why do women have periods?,Neutral
Art in exile,Negative
A day in the life of a Celtic Druid,Neutral
What is so special about the human brain?,Neutral
How COVID-19 human challenge trials work -- and why I volunteered,Positive
"The timeless, ancient language of art",Positive
How close are we to eradicating HIV?,Neutral
Nature vs. humans,Neutral
Sloths! The strange life of the world's slowest mammal,Neutral
My seven species of robot -- and how we created them,Positive
Situational irony: The opposite of what you think,Neutral
Could CBD help opioid users overcome addiction?,Positive
Why the world needs WikiLeaks,Positive
Relief to recovery,Positive
A feminine response to Iceland's financial crash,Positive
The lifetime stakes of teen mental health,Negative
"Demolition, disease, and death: Building the Panama Canal",Negative
How we can bring AI personalities to life,Positive
Maps that show us who we are (not just where we are),Positive
What's missing in the global debate over refugees,Negative
The year open data went worldwide,Positive
My mother's final wish -- and the right to die with dignity,Negative
How to get (a new) hip,Positive
"Why Iranians are cutting their hair for ""Woman, Life, Freedom""",Positive
3 ways your company's data can jump-start climate action,Positive
An interdimensional performance of imagination,Positive
"How to let go of being a ""good"" person -- and become a better person",Positive
A flirtatious aria,Positive
What if we could address the unaddressable?,Positive
The unexpected way spirituality connects to climate change,Positive
The potential of regenerative medicine,Positive
What streaming means for the future of entertainment,Neutral
The wheat field that could change the world,Positive
How businesses can plan for the road to recovery,Positive
"A science award that makes you laugh, then think",Positive
Why museums are returning cultural treasures,Positive
How to talk (and listen) to transgender people,Neutral
How autonomous flying taxis could change the way you travel,Positive
Can AI catch criminals at sea?,Neutral
A bold plan to protect 30 percent of the Earth's surface and ocean floor,Positive
How megacities are changing the map of the world,Neutral
The four things you need to know about the energy you use,Neutral
"How AI can enhance our memory, work and social lives",Positive
Will the real Fernando please stand up?,Neutral
Can you solve the dark matter fuel riddle?,Neutral
Can I have your brain? The quest for truth on concussions and CTE,Neutral
A climate solution? The wisdom passed down through generations,Positive
"Women and girls, you are part of the climate solution",Positive
What does the world's largest machine do?,Neutral
"Dance vs. powerpoint, a modest proposal",Neutral
A cleanse won't detox your body -- but here's what will,Neutral
"The Chasm | Think Like A Coder, Ep 6",Neutral
How comedy helps us deal with hard truths,Positive
How you can make a fruit fly eat veggies,Neutral
How we can stop Africa's scientific brain drain,Positive
The cost of work stress -- and how to reduce it,Positive
What's the smartest age?,Neutral
How does your body process medicine?,Neutral
The politics of fiction,Neutral
How architecture helped music evolve,Neutral
The bad math of the fossil fuel industry,Negative
How revenge porn turns lives upside down,Negative
"9 myths about psychology, debunked",Neutral
A prosecutor's vision for a better justice system,Positive
Rethinking the way we sit down,Neutral
Gene editing can now change an entire species -- forever,Negative
ET is (probably) out there -- get ready,Positive
How does ultrasound work?,Neutral
How China is (and isn't) fighting pollution and climate change,Neutral
"How do we bridge the ""anxiety gap"" at work?",Neutral
History through the eyes of a chicken,Neutral
The role of human emotions in science and research,Neutral
How artificial light affects our health,Neutral
What's the point of digital fashion?,Neutral
How animations can help scientists test a hypothesis,Positive
Invest in Africa's own solutions,Positive
How many lives can you live?,Positive
The jungle search for viruses,Neutral
The DIY orchestra of the future,Positive
"""Afterneath"" / ""Killing Me""",Negative
Why I fight for the education of refugee girls (like me),Positive
Why people believe they can't draw,Negative
Ultrasound surgery -- healing without cuts,Positive
How mobile phones power disaster relief,Positive
What Earth in 2050 could look like,Neutral
Epic Engineering: Building the Brooklyn Bridge ,Positive
What makes volcanoes erupt?,Neutral
The enchanting music of sign language,Positive
The kill decision shouldn't belong to a robot,Negative
 Do you really know why you do what you do?,Neutral
The real danger lurking in the water,Negative
"Vultures: The acid-puking, plague-busting heroes of the ecosystem",Positive
What you need to know about CRISPR,Neutral
Easy DIY projects for kid engineers,Positive
Math class needs a makeover,Negative
Is human evolution speeding up or slowing down?,Neutral
Tidying up art,Positive
Why I study the most dangerous animal on earth -- mosquitoes,Neutral
A bath without water,Positive
Inside the world's deepest caves,Neutral
How record collectors find lost music and preserve our cultural heritage,Positive
"Dance, tiny robots!",Positive
Psychedelic science,Neutral
A carbon-free future starts with driving less,Positive
How we're using DNA tech to help farmers fight crop diseases,Positive
3 rules to spark learning,Positive
Different ways of knowing,Neutral
Why a free and fair internet is more vital than ever,Positive
A for-profit mindset for nonprofit success,Positive
Could your brain repair itself?,Positive
My DNA vending machine,Positive
Meet the scientist couple driving an mRNA vaccine revolution,Positive
"How I brought a river, and my city, back to life",Positive
"Mind-blowing, magnified portraits of insects",Positive
How working couples can best support each other,Positive
This computer is learning to read your mind ,Positive
How a driverless car sees the road,Neutral
The power of imagination: Lessons from Shakespeare,Positive
Selfies and seeing ourselves -- one artist's look in the mirror,Neutral
The powerful possibilities of recycling the world's batteries,Positive
The shocking danger of mountaintop removal -- and why it must end,Negative
The deadly legacy of cluster bombs,Negative
Why gender-based marketing is bad for business,Negative
Hablemos de la muerte con los niños | Alejandro Nespral | TEDxBariloche,Neutral
"Without farmers, you'd be hungry, naked and sober",Positive
Why design should include everyone,Positive
Global priorities bigger than climate change,Negative
5 lessons on building an emissions-free city,Positive
Happy maps,Positive
"How to rob a bank (from the inside, that is)",Neutral
Making a car for blind drivers,Positive
"""A Ride With Polly Jean"" / ""Ali Farka Touche""",Positive
What happens during a heart attack?,Neutral
 How I'm using LEGO to teach Arabic,Positive
3 lessons on decision-making from a poker champion,Neutral
How to see more and care less: The art of Georgia O'Keeffe,Positive
Why we're more honest with machines than people,Neutral
How to topple a dictator,Negative
How diversity makes teams more innovative,Positive
How to manage for collective creativity,Positive
The 4 commandments of cities,Positive
Sampling the ocean's DNA,Positive
"The Resistance | Think Like A Coder, Ep 2",Neutral
How can you change someone's mind?,Positive
The most mysterious star in the universe,Neutral
What does a voice of the future sound like?,Neutral
What happens when our computers get smarter than we are?,Negative
What's your happiness score?,Positive
Stunning data visualization in the AlloSphere,Positive
What it takes to make change,Positive
How we can use the hiring process to bring out the best in people,Positive
A flavorful field guide to foraging,Positive
The climate crisis is expensive — here's who should pay for it,Negative
6 tips on being a successful entrepreneur,Positive
How to fix fashion and protect the planet,Positive
Amazon's climate pledge to be net-zero by 2040,Positive
How visual storytelling creates better health care,Positive
How to make sure materials get reused — again and again,Positive
How did English evolve?,Neutral
A photographic journey through the Taliban's takeover of Afghanistan,Negative
The treadmill's dark and twisted past,Negative
The story of Project Orion,Neutral
The difference between winning and succeeding,Positive
The optimism bias,Neutral
The next web,Positive
3 sneaky tactics that websites use to make you spend,Negative
How my mind came back to life — and no one knew,Positive
A radical experiment in empathy,Positive
An ingenious solution for aid in disaster zones,Positive
Art that reveals how technology frames reality,Neutral
An invitation to men who want a better world for women,Positive
An economic case for protecting the planet,Positive
Is life really that complex?,Neutral
Visualizing ourselves ... with crowd-sourced data,Neutral
Can we protect AI from our biases?,Negative
What I learned as a kid in jail,Negative
3 kinds of bias that shape your worldview,Neutral
My philosophy for a happy life,Positive
How AI will step off the screen and into the real world,Positive
What is earwax — and should you get rid of it?,Neutral
What's the best country to live in?,Neutral
Why I ask strangers to draw their memories,Positive
Making sense of maps,Neutral
Economics and art,Neutral
How to write less but say more,Positive
What comes after tragedy? Forgiveness,Positive
If I controlled the Internet,Neutral
What I learned serving time for a crime I didn't commit,Negative
Einstein's twin paradox explained,Neutral
What a world without prisons could look like,Positive
An artist's unflinching look at racial violence,Negative
Can a computer write poetry?,Neutral
Armchair archaeologist,Neutral
Design with the blind in mind,Positive
Three myths about corruption,Neutral
The Chinese legend of the butterfly lovers,Positive
The Maya myth of the morning star,Neutral
"An underwater art museum, teeming with life",Positive
A new way to get every child ready for kindergarten,Positive
How to grow fresh air,Positive
The sharks that hunt in forests,Neutral
How centuries of sci-fi sparked spaceflight,Positive
"Love, no matter what",Positive
The long reach of reason,Neutral
A smart bra for better heart health,Positive
The astounding athletic power of quadcopters,Positive
Victims of the city,Negative
Your right to mental privacy in the age of brain-sensing tech,Negative
"Why do we, like, hesitate when we, um, speak?",Neutral
Do kids think of sperm donors as family?,Neutral
How we'll earn money in a future without jobs,Neutral
What we're missing in the debate about immigration,Neutral
How to do more with less in healthcare,Positive
"Playtime with Pleo, your robotic dinosaur friend",Positive
How gratitude rewires your brain,Positive
Let's turn the high seas into the world's largest nature reserve,Positive
"Chips, conflict and the Congo",Negative
Robots inspired by cockroach ingenuity,Positive
How to get everyone to care about a green economy,Positive
Are all relationships messy?,Neutral
Could a Saturn moon harbor life?,Neutral
"How Amazon, Apple, Facebook and Google manipulate our emotions",Negative
Meet the robot designed like an octopus tentacle,Neutral
The myth behind the Chinese zodiac,Neutral
A better way to talk about abortion,Neutral
Learning from a barefoot movement,Positive
Can you solve the Alice in Wonderland riddle?,Neutral
Why you will fail to have a great career,Negative
What matters more than your talents,Positive
"""Jamie Raeburn"" / ""Baloo Baleerie"" / ""Twa recruitin Sergeants""",Positive
A thousand times no,Negative
A climate solution where all sides can win,Positive
Why social media is reimagining our future,Positive
The attitudes that sparked Arab Spring,Positive
Prepare for a good end of life,Positive
A glimpse of the future through an augmented reality headset,Positive
How to live with fire,Neutral
The symbols of systemic racism -- and how to take away their power,Positive
An AI smartwatch that detects seizures,Positive
An Indigenous perspective on humanity's survival on Earth,Positive
How to design gender bias out of your workplace,Positive
This is what it's like to go undercover in North Korea,Negative
How we read each other's minds,Neutral
How can technology transform the human body?,Positive
India's hidden hotbeds of invention,Positive
The wars that inspired Game of Thrones,Neutral
The disarming case to act right now on climate change,Positive
In defense of extroverts ,Positive
An inventory of the invisible,Neutral
The wild sex lives of marine creatures,Neutral
Don't fail fast -- fail mindfully,Positive
Big Data,Neutral
How your emotions change the shape of your heart,Neutral
How to be an upstander instead of a bystander,Positive
The moon illusion,Neutral
How to create meaningful connections while apart,Positive
What you don't know about marriage,Neutral
Why is cotton in everything?,Neutral
Why the live arts matter,Positive
My battle to expose government corruption,Negative
The history of the world according to cats,Neutral
Inside the black hole image that made history,Positive
The polyphonic me,Positive
Can you solve the risky disk riddle?,Neutral
How we could make carbon-negative concrete,Positive
"On tennis, love and motherhood",Positive
"5 predictions, from 1984",Neutral
5 ways to lead in an era of constant change,Positive
The neuroscience of imagination,Neutral
Love others to love yourself,Positive
The future of repairing the human body,Positive
Happiness and its surprises,Positive
My epic journey becoming the fastest person to paddle around Australia,Positive
How to deal with rejection,Negative
How to turn grit into a lifelong habit | Angela Duckworth,Positive
Designing objects that tell stories,Positive
The surveillance device you carry around all day,Negative
A preview of the WorldWide Telescope,Neutral
When games invade real life,Neutral
From pacifist to spy: WWII's surprising secret agent,Neutral
Tools for a better world,Positive
The power of unconventional thinking,Positive
"How to get better at video games, according to babies",Positive
Why humor is key to creativity,Positive
"The rise of cricket, the rise of India",Positive
"When local news dies, so does democracy",Negative
The merciless mercenaries of the Italian Renaissance,Negative
A call to end the media coverage mass shooters want ,Negative
Are all of your memories real?,Neutral
I grew up in the Westboro Baptist Church. Here's why I left,Positive
How video games turn players into storytellers,Positive
A neural portrait of the human mind,Neutral
Making global labor fair,Positive
Countdown Session 3: Transformation (Full session),Neutral
What scorpions can teach us about brain tumors,Neutral
How do hard drives work?,Neutral
Why we need open-source AI,Positive
Why all melodies should be free for musicians to use,Positive
Why you don't need 8 glasses of water a day,Neutral
"The violin, and my dark night of the soul",Negative
How the coronavirus is impacting India -- and what needs to happen next,Negative
The dark history of IQ tests,Negative
"""East Virginia"" / ""John Brown's Dream""",Neutral
Questions no one knows the answers to,Neutral
"How young blood might help reverse aging. Yes, really",Positive
The myth of Narcissus and Echo,Neutral
The connective potential of poetry,Positive
Is marijuana bad for your brain?,Neutral
Confessions of a recovering micromanager,Positive
Birds aren't real? How a conspiracy takes flight,Neutral
How to raise successful kids -- without over-parenting,Positive
How to build an information time machine,Neutral
Zombie roaches and other parasite tales,Neutral
The hidden network that makes the internet possible,Neutral
Which voting system is the best?,Neutral
The world's largest family reunion ... we're all invited!,Positive
The Axis of Evil Middle East Comedy Tour,Positive
Remaking my voice,Positive
What we don't know about Europe's Muslim kids,Neutral
An Iraq war movie crowd-sourced from soldiers,Neutral
The face of AIDS in Africa,Negative
Designing materials one atom at a time,Neutral
"To transform child welfare, take race out of the equation",Neutral
The secret to great opportunities? The person you haven't met yet,Positive
A blueprint for reparations in the US,Positive
"The emergence of ""4D printing""",Positive
The wild world of carnivorous plants,Neutral
Why giving away our wealth has been the most satisfying thing we've done,Positive
"How synthetic biology can improve our health, food and materials",Positive
Fight for justice — even if you don't live to see it,Negative
The most powerful untapped resource in health care,Positive
Beware conflicts of interest,Negative
The business benefits of doing good,Positive
Science can answer moral questions,Positive
Be an opportunity maker,Positive
Why you should get paid for your data,Positive
Science versus wonder?,Neutral
Hunting for Peru's lost civilizations -- with satellites,Positive
The perks of being a pirate,Positive
"How to ""sketch"" with electronics",Positive
Glimpses of a pristine ocean,Positive
"Life in the ""digital now""",Neutral
How to prevent political corruption,Positive
How do gas masks actually work?,Neutral
How nanoparticles could change the way we treat cancer,Positive
Why I photograph the quiet moments of grief and loss,Negative
Better baby care -- thanks to Formula 1,Positive
The secret life of plankton,Neutral
Shouldn't sports be color-blind?,Neutral
A needle in countless haystacks: Finding habitable worlds,Neutral
Can other animals understand death?,Neutral
How we wrecked the ocean,Negative
What makes you special?,Positive
The risky politics of progress,Negative
What doctors don't know about the drugs they prescribe,Negative
How to meaningfully reconnect with those who have dementia,Positive
Why eyewitnesses get it wrong,Neutral
I got 99 problems ... palsy is just one,Positive
"How a ""Hi Level"" mindset helps you realize your potential",Positive
This decade calls for Earthshots to repair our planet,Positive
A park underneath the hustle and bustle of New York City,Positive
"""Beautifully Out of Place""",Positive
The high-stakes race to make quantum computers work,Neutral
"Why should you read ""Crime and Punishment""?",Positive
Patient capitalism,Positive
How to run a company with (almost) no rules,Positive
A historic moment in the Arab world,Positive
4 ways to build a human company in the age of machines,Positive
Let's use video to reinvent education,Positive
The good news about PMS,Positive
Two reasons companies fail -- and how to avoid them,Positive
How we talk about sexual assault online,Neutral
"Change our culture, change our world",Positive
A 30-year history of the future,Neutral
A police chief with a difference,Positive
Is democracy doomed? The global fight for our future,Negative
Why the passport needs an upgrade,Positive
3 rules for a zero-carbon world,Positive
Why I speak up about living with epilepsy,Positive
Earth's original inhabitants -- and their role in combating climate change,Positive
Can you solve the river crossing riddle?,Neutral
To This Day ... for the bullied and beautiful,Positive
"5 parenting tips for raising resilient, self-reliant kids",Positive
3 questions to ask yourself about everything you do,Positive
How data will transform business,Positive
The wildly complex anatomy of a sneaker,Neutral
Africa's next boom,Positive
The fascinating science of phantom limbs,Neutral
The 1-minute secret to forming a new habit,Positive
"Augmented reality, techno-magic",Positive
Don't eat the marshmallow!,Neutral
The real harm of the global arms trade,Negative
How the Suez Canal changed the world,Neutral
"When you're making a deal, what's going on in your brain?",Neutral
What it means to be intersex,Neutral
The business case for working with your toughest critics,Positive
Micro-power plants to bring electricity to millions,Positive
The mind behind Linux,Positive
It takes a community to eradicate hate,Positive
Why architects need to use their ears,Positive
"A giant Jurassic sea dragon, unearthed",Positive
"Radical women, embracing tradition",Positive
Should you be able to patent a human gene?,Neutral
How stigma shaped modern medicine,Negative
The Egyptian myth of Isis and the seven scorpions,Neutral
A summer school kids actually want to attend,Positive
The haunting truth of ghost stories,Neutral
Is our universe the only universe?,Neutral
Why believe in others,Positive
Why we need to put politics in its place,Negative
"Why the ""good immigrant"" is a bad narrative",Negative
A new way to restore Earth's biodiversity -- from the air,Positive
Why we should embrace aging as an adventure,Positive
The fine art of dumpster diving,Positive
How a world-record mountaineer empowers youth to overcome fear,Positive
Experiments that point to a new understanding of cancer,Positive
Where does your sense of self come from? A scientific look,Neutral
How India's local recyclers could solve plastic pollution,Positive
What COVID-19 revealed about US schools -- and 4 ways to rethink education,Positive
The true cost of gold,Negative
My architectural philosophy? Bring the community into the process,Positive
How AR can make us feel more connected to the world,Positive
My wish: Rebuilding Rwanda,Positive
The benefits of expressing your emotions (constructively),Positive
The god who wanted to rule the seas,Neutral
Could AI give you X-ray vision?,Neutral
"Watch me unveil ""synthetic life""",Positive
How do ventilators work?,Neutral
The global business next door,Neutral
What is consciousness?,Neutral
The story of Ezra,Neutral
"Kids, take charge",Positive
